,ICT Mentorship 2023 - ES Review Precision Results,https://www.youtube.com/watch?v=NeZlyG8FZLQ
VM932:1,"ICT Mentorship 2023 - ES Market Review May 17, 2023",https://www.youtube.com/watch?v=qiv8pkcNvGk
VM932:1,2023 ICT Mentorship - ICT Silver Bullet Time Based Trading Model,https://www.youtube.com/watch?v=tRq1hyGGtl4
VM932:1,NQ Futures Review & The ICT Sick Sister Consolidation Model,https://www.youtube.com/watch?v=VSSwM6rDIg0
VM932:1,NDOG - New Day Opening Gap - Part 1,https://www.youtube.com/watch?v=Sh-bDHWNpsk
VM932:1,NWOG - New Week Opening Gap Part 2,https://www.youtube.com/watch?v=BM1mqQv-ypk
VM932:1,ES Review & ICT Funded Challenge Discussion 05/04/2023,https://www.youtube.com/watch?v=F509lJRrYIM
VM932:1,"NQ Futures Review May 02, 2023",https://www.youtube.com/watch?v=St9FJHRVdq8
VM932:1,"Emini S&P 500 Review - April 12, 2023",https://www.youtube.com/watch?v=441vklRYYR4
VM932:1,"Real Money, Real People - ICT Student Meeran",https://www.youtube.com/watch?v=V8OmFCRRzC8
VM932:1,"ICT Emini S&P 500 Review - March 27, 2023",https://www.youtube.com/watch?v=NkwqJBzgQwo
VM932:1,"Real Money, Real People - ICT Student Alex",https://www.youtube.com/watch?v=H6gTzpLtvPA
VM932:1,"Real Money, Real People - ICT Student Kyle",https://www.youtube.com/watch?v=XPYMMSE8DCw
VM932:1,"Real Money, Real People - ICT Student Paladin",https://www.youtube.com/watch?v=KjumlRGELxg
VM932:1,AM Session - Opening Range Gap + Mitigation Block & FVG Entry,https://www.youtube.com/watch?v=UPKUqW_eaas
VM932:1,"Drawdown Mitigation - March 09, 2023 Homework Assignment",https://www.youtube.com/watch?v=JlbQ-Z88NsI
VM932:1,NWOG - New Week Opening Gap,https://www.youtube.com/watch?v=WKKnlIIkBTk
VM932:1,Shorting ES with Wick C.E. & Premium FVG To Discount Sellside Liquidity Premarket,https://www.youtube.com/watch?v=twgtbikJtL0
VM932:1,Institutional Market Structure & Standard Deviations With Buyside Liquidity,https://www.youtube.com/watch?v=g8bhZReDK-Q
VM932:1,"January 31, 2023 PM Session Example \ New Week Opening Gap",https://www.youtube.com/watch?v=MqOVbd1oqZk
VM932:1,"5 Handle Twitter Example Live Execution... January 30, 2023",https://www.youtube.com/watch?v=eTMS36H7HA0
VM932:1,"ICT Mentorship ES Market Review \ January 26, 2023",https://www.youtube.com/watch?v=V1thfpo-R9U
VM932:1,"ICT 2023 Mentorship Analysis \ January 25, 2023",https://www.youtube.com/watch?v=HkiPAi1Mdu8
VM932:1,2023 Mentorship Price Action Review & PM  Session Reversal Model,https://www.youtube.com/watch?v=QKvjPltjsqU
VM932:1,"ICT Emini Futures Review - January 18, 2023",https://www.youtube.com/watch?v=cWekmMLqiNM
VM932:1,When I have to pull out the heavy artillery...,https://www.youtube.com/watch?v=w_mKmVwfqc4
VM932:1,ICT 2023 Mentorship \ ES Live Execution & Mean Threshold Risk Management,https://www.youtube.com/watch?v=tnxvmHq8xEg
VM932:1,ICT Premarket Commentary for Week Ending 01/20/23,https://www.youtube.com/watch?v=w0CYBeFTzcM
VM932:1,"ICT ES Futures Review - January 09, 2023",https://www.youtube.com/watch?v=bGtQOXrrK9c
VM932:1,"ICT Forex Review January 09, 2023",https://www.youtube.com/watch?v=cxdjcXec3eA
VM932:1,January 2023 NonFarm Payroll Review & HTF Concepts,https://www.youtube.com/watch?v=VKkn8uckkW0
VM932:1,"Deep Learning On Nasdaq Futures Trade - January 04, 2023",https://www.youtube.com/watch?v=ojy5ApHhEu4
VM932:1,"ICT Emini NQ Futures Market Maker Live Execution - January 04, 2023",https://www.youtube.com/watch?v=AUbdCTzc19k
VM932:1,"ICT Emini S&P 500 Review / January 03, 2023",https://www.youtube.com/watch?v=GHaD0mebgMU
VM932:1,ICT Mentorship 2023 Ep 01,https://www.youtube.com/watch?v=XN8tuO4QIRw&t=21s
VM932:1,Final Trade of 2022 In Real Time - Tradingview Platform,https://www.youtube.com/watch?v=g1hLPJBse6o
VM932:1,Final Trade of 2022... Enjoy!,https://www.youtube.com/watch?v=PEwlacpjxCg
VM932:1,NQ Futures Live Execution & Trade Management,https://www.youtube.com/watch?v=_GKZoHIJpj0&t=3s
VM932:1,2023 Preview... Precision Inc.,https://www.youtube.com/watch?v=GaFe8LSmtfY
VM932:1,Precision Only Found With Real Algorithmic Theory In Action,https://www.youtube.com/watch?v=SXutdYSa3Zk
VM932:1,Nasdaq Quick Scoping...,https://www.youtube.com/watch?v=flNNEKKcYkM
VM932:1,Share Your Experience With Me & Your ICT Mentorship Journey,https://www.youtube.com/watch?v=ceYv0DVK3ec
VM932:1,ICT Mentorship Core Content - Month 12 - Intraday Top Down Analysis,https://www.youtube.com/watch?v=Oec_0NM_OeY
VM932:1,ICT Mentorship Core Content - Month 12 - Short Term Top Down Analysis,https://www.youtube.com/watch?v=3B7Reg2Yiqs
VM932:1,ICT Mentorship Core Content - Month 12 - Intermediate Term Top Down Analysis,https://www.youtube.com/watch?v=Ad-votrg6WQ
VM932:1,ICT Mentorship Core Content - Month 12 - Long Term Top Down Analysis,https://www.youtube.com/watch?v=eIdnsgq-G7A
VM932:1,ICT Mentorship Core Content - Month 11 - Bond Mega-Trades,https://www.youtube.com/watch?v=At43V93rnDQ
VM932:1,ICT Mentorship Core Content - Month 11 - Stock Mega-Trades,https://www.youtube.com/watch?v=kny8Kpisvoc
VM932:1,ICT Mentorship Core Content - Month 11 - Forex & Currency Mega-Trades,https://www.youtube.com/watch?v=CxwFON8MLB0
VM932:1,ICT Mentorship Core Content - Month 11 - Commodity Mega-Trades,https://www.youtube.com/watch?v=u5S6Zt1ZIpA
VM932:1,ICT Mentorship Core Content - Month 10 - Importance Of Multi-Asset Analysis,https://www.youtube.com/watch?v=gs3KMgz84yc
VM932:1,ICT Mentorship Core Content - Month 10 - Stock Trading - Using Options,https://www.youtube.com/watch?v=cv-fwKKXrwQ
VM932:1,ICT Mentorship Core Content - Month 10 - Stock Trading - Valuation Stock Selection,https://www.youtube.com/watch?v=Pdpx3aSyWos
VM932:1,ICT Mentorship Core Content - Month 10 - Stock Trading - Building Sell Watchlists,https://www.youtube.com/watch?v=dH381VCOVl0
VM932:1,ICT Mentorship Core Content - Month 10 - Stock Trading - Building Buy Watchlists,https://www.youtube.com/watch?v=rcO8-nb3S0Q
VM932:1,ICT Mentorship Core Content - Month 10 - Stock Trading - Seasonals & Monthly Swings,https://www.youtube.com/watch?v=rlTl8QKpqCU
VM932:1,ICT Mentorship Core Content - Month 10 - Index Futures - Index Trade Setups,https://www.youtube.com/watch?v=yWBxZsbmK1U
VM932:1,ICT Mentorship Core Content - Month 10 - Index Futures - Projected Range & Objectives,https://www.youtube.com/watch?v=P5pyzmgZA1s
VM932:1,ICT Mentorship Core Content - Month 10 - Index Futures - PM Trend,https://www.youtube.com/watch?v=qZg_5bac518
VM932:1,ICT Mentorship Core Content - Month 10 - Index Futures - AM Trend,https://www.youtube.com/watch?v=wWCKTEhVp2o
VM932:1,ICT Mentorship Core Content - Month 10 - Index Futures - Basics & Opening Range Concept,https://www.youtube.com/watch?v=ORbtHOUzAIM
VM932:1,ICT Mentorship Core Content - Month 10 - Bond Trading - Trending Days,https://www.youtube.com/watch?v=S0ouOvtjV2I
VM932:1,ICT Mentorship Core Content - Month 10 - Bond Trading - Consolidation Days,https://www.youtube.com/watch?v=RgpxhuVp5Xg
VM932:1,ICT Mentorship Core Content - Month 10 - Bond Trading - Split Session Rules,https://www.youtube.com/watch?v=JpV-J31mxhg
VM932:1,ICT Mentorship Core Content - Month 10 - Bond Trading - Basics & Opening Range Concept,https://www.youtube.com/watch?v=CGbSpa_9Z9Y
VM932:1,ICT Mentorship Core Content - Month 10 - Premium Vs. Carrying Charge Market,https://www.youtube.com/watch?v=WsolkBzpDOQ
VM932:1,ICT Mentorship Core Content - Month 10 - Commodity Seasonals Tendencies - My Personal Favorites,https://www.youtube.com/watch?v=R2NjnYozhdw
VM932:1,ICT Mentorship Core Content - Month 10 - Open Interest Secrets & Smart Money Footprints,https://www.youtube.com/watch?v=qRYkTWePXF0
VM932:1,ICT Mentorship Core Content - Month 10 - Relative Strength Analysis - Accumulation & Distribution,https://www.youtube.com/watch?v=ygtvWKyOzHQ
VM932:1,ICT Mentorship Core Content - Month 10 - Commitment Of Traders,https://www.youtube.com/watch?v=9H4iaaQXV5Y
VM932:1,ICT Mentorship Core Content - Month 09 - ICT Day Trade Routine,https://www.youtube.com/watch?v=cqf8nH54bb8
VM932:1,ICT Mentorship Core Content - Month 09 - Bread & Butter Sell Setups,https://www.youtube.com/watch?v=-oMtfDvc18Y
VM932:1,ICT Mentorship Core Content - Month 09 - Bread & Butter Buy Setups,https://www.youtube.com/watch?v=OVfn-gDk2dE
VM932:1,ICT Mentorship Core Content - Month 09 - Trading Market Reversals,https://www.youtube.com/watch?v=KrGTimL3YRQ
VM932:1,ICT Mentorship Core Content - Month 09 -  Trading In Consolidations,https://www.youtube.com/watch?v=g7jchu4g31c
VM932:1,ICT Mentorship Core Content - Month 09 - 20 Pips Per Day,https://www.youtube.com/watch?v=km0haQkTalc
VM932:1,Bridge Builder - ICT Concepts Overview,https://www.youtube.com/watch?v=qQvEV2dTTW8
VM932:1,ICT Mentorship Core Content - Month 09 - Filling The Numbers,https://www.youtube.com/watch?v=zanmou0ic5U
VM932:1,ICT Mentorship Core Content - Month 09 - The Sentiment Effect,https://www.youtube.com/watch?v=_TNhWRPa6GA
VM932:1,ICT Mentorship Core Content - Month 08 - Integrating Daytrades With HTF Trade Entries,https://www.youtube.com/watch?v=1MnfiqKx5Uo
VM932:1,ICT Mentorship Core Content - Month 08 - High Probability Daytrade Setups,https://www.youtube.com/watch?v=5Z_3NbclMSY
VM932:1,ICT Mentorship Core Content - Month 08 - When To Avoid The London Session,https://www.youtube.com/watch?v=stK2gNqhLaM
VM932:1,ICT Mentorship Core Content - Month 08 - Intraday Profiles,https://www.youtube.com/watch?v=eU8WcUftUtY
VM932:1,ICT Mentorship Core Content - Month 08 - Projecting Daily Highs & Lows,https://www.youtube.com/watch?v=JKzEhfwV1dY
VM932:1,ICT Mentorship Core Content - Month 08 - Central Bank Dealers Range,https://www.youtube.com/watch?v=nI1AMOC1pro
VM932:1,ICT Mentorship Core Content - Month 08 - Defining The Daily Range,https://www.youtube.com/watch?v=_2nUKLAD9ig
VM932:1,ICT Mentorship Core Content - Month 08 - Essentials To ICT Daytrading,https://www.youtube.com/watch?v=-cXnnHjy9s0
VM932:1,ICT Mentorship Core Content - Month 07 - One Shot One Kill Model,https://www.youtube.com/watch?v=LBlK6JB0QS0
VM932:1,ICT Mentorship Core Content - Month 07 - Intraweek Market Reversals & Overlapping Models,https://www.youtube.com/watch?v=jvc105qaCJs
VM932:1,ICT Mentorship Core Content - Month 07 - Short Term Trading Low Resistance Liquidity Runs Part 2,https://www.youtube.com/watch?v=O69iFqP1j7o
VM932:1,ICT Mentorship Core Content - Month 07 - Short Term Trading Low Resistance Liquidity Runs Part 1,https://www.youtube.com/watch?v=y0lVKWLsZeM
VM932:1,ICT Mentorship Core Content - Month 07 - Short Term Trading Blending IPDA Data Ranges & PD Arrays,https://www.youtube.com/watch?v=YV4fEF4d2wA
VM932:1,ICT Mentorship Core Content - Month 07 - Short Term Trading Market Maker Manipulation Templates,https://www.youtube.com/watch?v=hbE8S5FSdtQ
VM932:1,ICT Mentorship Core Content - Month 07 - Short Term Trading Defining Weekly Range Profiles,https://www.youtube.com/watch?v=wFjeUzJys7w
VM932:1,ICT Mentorship Core Content - Month 07 - Short Term Trading Using Monthly & Weekly Ranges,https://www.youtube.com/watch?v=mQA8jCem9d0
VM932:1,ICT Mentorship Core Content - Month 06 - The Million Dollar Swing Setup,https://www.youtube.com/watch?v=VL4YLTRerHY
VM932:1,ICT Mentorship Core Content - Month 06 - Keys To Selecting Markets That Will Move Explosively,https://www.youtube.com/watch?v=Hoo_wTMgdcY
VM932:1,ICT Mentorship Core Content - Month 06 - Reducing Risk & Maximizing Potential Reward In Swing Setups,https://www.youtube.com/watch?v=JAjL7rUX2Iw
VM932:1,ICT Mentorship Core Content - Month 06 - High Probability Swing Trade Setups In Bear Markets,https://www.youtube.com/watch?v=soY9zX3gt2U
VM932:1,ICT Mentorship Core Content - Month 06 - High Probability Swing Trade Setups In Bull Markets,https://www.youtube.com/watch?v=osRUnIpGIJ0
VM932:1,ICT Mentorship Core Content - Month 06 - Classic Swing Trading Approach,https://www.youtube.com/watch?v=g--tikwaupk
VM932:1,ICT Mentorship Core Content - Month 06 - Elements To Successful Swing Trading,https://www.youtube.com/watch?v=Xs1i0aIeTME
VM932:1,ICT Mentorship Core Content - Month 06 - Ideal Swings Conditions For Any Market,https://www.youtube.com/watch?v=0juYnbKays0
VM932:1,ICT Mentorship Core Content - Month 05 - Position Trade Management,https://www.youtube.com/watch?v=okN5p701T7Y
VM932:1,ICT Mentorship Core Content - Month 05 - Limit Order Entry Techniques For Long Term Traders,https://www.youtube.com/watch?v=WDattjFvNBc
VM932:1,ICT Mentorship Core Content - Month 05 - Stop Entry Techniques For  Long Term Traders,https://www.youtube.com/watch?v=vb_Yc-gCBfU
VM932:1,ICT Mentorship Core Content - Month 05 - Trade Conditions & Setup Progressions,https://www.youtube.com/watch?v=Y1oxwc354oo
VM932:1,ICT Mentorship Core Content - Month 05 - Defining HTF PD Arrays,https://www.youtube.com/watch?v=pwO-E-OOH5k
VM932:1,ICT Mentorship Core Content - Month 05 - Money Management,https://www.youtube.com/watch?v=crPpMwgwa7k
VM932:1,ICT Mentorship Core Content - Month 05 - Ideal Seasonal Tendencies,https://www.youtube.com/watch?v=O2Sio7opKxo
VM932:1,ICT Mentorship Core Content - Month 05 - How To Use Bearish Seasonal Tendencies In HTF Analysis,https://www.youtube.com/watch?v=Vb6ueaPqut0
VM932:1,ICT Mentorship Core Content - Month 05 - How To Use Bullish Seasonal Tendencies In HTF Analysis,https://www.youtube.com/watch?v=6Sp-pr3yCkc
VM932:1,ICT Mentorship Core Content - Month 05 - How To Use Intermarket Analysis,https://www.youtube.com/watch?v=4i_hnoEk6lw
VM932:1,ICT Mentorship Core Content - Month 05 - Interest Rate Differentials,https://www.youtube.com/watch?v=w6VlX-rsTUs
VM932:1,The Tough Lessons: Why I Avoid AM Sessions After Large Range Days,https://www.youtube.com/watch?v=md9rxVLjY6A
VM932:1,ICT Mentorship Core Content - Month 05 - Qualifying Trade Conditions With 10 Year Yields,https://www.youtube.com/watch?v=N8_8tEw2_44
VM932:1,ICT Mentorship Core Content - Month 05 - Using 10 Year Notes In HTF Analysis,https://www.youtube.com/watch?v=z-7ypchAMDE
VM932:1,ICT Mentorship Core Content - Month 05 - Defining Institutional Swing Points,https://www.youtube.com/watch?v=xRjKtUEKkSE
VM932:1,ICT Mentorship Core Content - Month 05 - Defining Open Float Liquidity Pools,https://www.youtube.com/watch?v=vqtA1S9JH34
VM932:1,ICT Mentorship Core Content - Month 05 - Using IPDA Data Ranges,https://www.youtube.com/watch?v=LRKtiysz4nA
VM932:1,ICT Mentorship Core Content - Month 05 - Open Float,https://www.youtube.com/watch?v=BkmZgjuYREU
VM932:1,ICT Mentorship Core Content - Month 05 - Quarterly Shifts & IPDA Data Ranges,https://www.youtube.com/watch?v=n7SPAK_tpN8
VM932:1,ICT Mentorship Core Content - Month 04 - Double Bottom Double Top,https://www.youtube.com/watch?v=owq30ATPU5s
VM932:1,ICT Mentorship Core Content - Month 04 - Divergence Phantoms,https://www.youtube.com/watch?v=Xae0VrbkyFk
VM932:1,ICT Mentorship Core Content - Month 04 - ICT Fair Value Gaps FVG,https://www.youtube.com/watch?v=FgacYSN9QEo
VM932:1,ICT Mentorship Core Content - Month 04 - Liquidity Voids,https://www.youtube.com/watch?v=HTQgH11W37o
VM932:1,ICT Mentorship Core Content - Month 04 - Liquidity Pools,https://www.youtube.com/watch?v=Gnw54f9v6SA
VM932:1,ICT Mentorship Core Content - Month 04 - ICT Vacuum Block,https://www.youtube.com/watch?v=shPGUz9pU-A
VM932:1,ICT Mentorship Core Content - Month 04 - ICT Propulsion Block,https://www.youtube.com/watch?v=glu98jAH8vE
VM932:1,ICT Mentorship Core Content - Month 04 - Reclaimed ICT Orderblock,https://www.youtube.com/watch?v=X5pQjfkAUCI
VM932:1,ICT Mentorship Core Content - Month 04 - ICT Rejection Block,https://www.youtube.com/watch?v=oALYX0HCSYw
VM932:1,ICT Mentorship Core Content - Month 04 - ICT Breaker Block,https://www.youtube.com/watch?v=UrS-mtGHtAA
VM932:1,"Live Trade Execution With ""Ends..."" Commentary 09/08/22",https://www.youtube.com/watch?v=fVbJ5vCA-XM
VM932:1,ICT Mentorship Core Content - Month 04 - Mitigation Blocks,https://www.youtube.com/watch?v=FOUzW0QmsfI
VM932:1,ICT Mentorship Core Content - Month 04 - Orderblocks,https://www.youtube.com/watch?v=PIYh0CxoY9c
VM932:1,2022 ICT Mentorship - Ends Series Part 4 of 4,https://www.youtube.com/watch?v=SO3SJFNRim8
VM932:1,ICT Mentorship Core Content - Month 04 - Reinforcing Liquidity Concepts & Price Delivery,https://www.youtube.com/watch?v=npL3ZXJ5zOU
VM932:1,ICT Mentorship Core Content - Month 04 - Interest Rate Effects On Currency Trades,https://www.youtube.com/watch?v=6oQVb0zVxMM
VM932:1,ICT Emini S&P 500 AM Session Review - 09/06/22,https://www.youtube.com/watch?v=y8cKMOHMVb0
VM932:1,ICT Mentorship Core Content - Month 03 - Market Maker Trap Head Shoulders Pattern,https://www.youtube.com/watch?v=w8lbrvZXUVY
VM932:1,ICT Mentorship Core Content - Month 03 - Market Maker Trap Trendline Phantoms,https://www.youtube.com/watch?v=o8NfSK-pUlE
VM932:1,ICT Mentorship Core Content - Month 03 - Macro Economic To Micro Technical,https://www.youtube.com/watch?v=MJwWUd_FM-k
VM932:1,ICT Mentorship Core Content - Month 03 - Institutional Market Structure,https://www.youtube.com/watch?v=GuycI8XubgE
VM932:1,ICT Mentorship Core Content - Month 03 - The Next Setup - Anticipatory Skill Development,https://www.youtube.com/watch?v=9kabTfUEVKg
VM932:1,ICT Emini S&P 500 AM & PM Session Review - 09/02/22,https://www.youtube.com/watch?v=mkAuOOPTEKw
VM932:1,ICT Mentorship Core Content - Month 03 - Institutional Sponsorship,https://www.youtube.com/watch?v=t2VNzJZ4hK4
VM932:1,ICT Emini S&P500 AM & PM Session Review - 09/01/22,https://www.youtube.com/watch?v=wOzyoZD7b7M
VM932:1,ICT Mentorship Core Content - Month 03 - Institutional Order Flow,https://www.youtube.com/watch?v=PQkcFbr61FI
VM932:1,ICT Mentorship Core Content - Month 03 - Timeframe Selection & Defining Setups,https://www.youtube.com/watch?v=UF5J0nEBc0E
VM932:1,ICT Mentorship Core Content - Month 02 - Market Maker Trap False Breakouts,https://www.youtube.com/watch?v=pv2-R-STviA
VM932:1,ICT Mentorship Core Content - Month 02 - Market Maker Trap False Flag,https://www.youtube.com/watch?v=cRbPS3uxkj4
VM932:1,ICT Mentorship Core Content - Month 02 - The Secrets To Selecting High Reward Setups,https://www.youtube.com/watch?v=bftKgceXqYo
VM932:1,ICT Mentorship Core Content - Month 02 - How To Mitigate Losing Trades Effectively,https://www.youtube.com/watch?v=vWDElb65YHg
VM932:1,ICT Mentorship Core Content - Month 02 - No Fear Of Losing,https://www.youtube.com/watch?v=pFdW8wdR9sQ
VM932:1,ICT Mentorship - Core Content - Month 02 - How Traders Make 10% Per Month,https://www.youtube.com/watch?v=pctqB3UD6dk
VM932:1,ICT Mentorship - Core Content -  Month 02 - Framing Low Risk Trade Setups,https://www.youtube.com/watch?v=Zsg8IeBtfu0
VM932:1,ICT Mentorship Core Content - Month 02   Growing Small Accounts,https://www.youtube.com/watch?v=mjVHmE1gVMg
VM932:1,2022 ICT Mentorship - Ends Series Part 3 of 4,https://www.youtube.com/watch?v=_MCYKZGAHmY
VM932:1,ICT Mentorship Core Content - Month 1 - Impulse Price Swings & Market Protraction,https://www.youtube.com/watch?v=K4LtfujVpJs
VM932:1,ICT Mentorship Core Content - Month 1 - Liquidity Runs,https://www.youtube.com/watch?v=22XkhpJR5eA
VM932:1,ICT Mentorship Core Content - Month 1 - Fair Valuation,https://www.youtube.com/watch?v=SiVmoeyOWZE
VM932:1,ICT Mentorship Core Content - Month 1 - Equilibrium Vs. Premium,https://www.youtube.com/watch?v=YuefjnUKQdM
VM932:1,ICT Mentorship Core Content - Month 1 - Equilibrium Vs. Discount,https://www.youtube.com/watch?v=qC0LogyIk2I
VM932:1,ICT Mentorship Core Content - Month 1 - What To Focus On Right Now,https://www.youtube.com/watch?v=B7_cjybYQ0g
VM932:1,ICT Mentorship Core Content - Month 1 - How Market Makers Condition The Market,https://www.youtube.com/watch?v=XwYYWBttWro
VM932:1,ICT Mentorship Core Content - Month 1 - Elements Of A Trade Setup,https://www.youtube.com/watch?v=0LhteuLVuDU
VM932:1,"2022 ICT Mentorship Market Review - August 13, 2022",https://www.youtube.com/watch?v=qwmqUgelxsU
VM932:1,2022 ICT Mentorship - Ends Series Part 2 of 4,https://www.youtube.com/watch?v=Tex87Lo2HdE
VM932:1,"2022 ICT Mentorship Market Review - August 02, 2022",https://www.youtube.com/watch?v=tVTyBlvfwfQ
VM932:1,"2022 ICT Mentorship Market Review - August 01, 2022",https://www.youtube.com/watch?v=sAHZfbAvfYI
VM932:1,2022 ICT Mentorship - Ends Series Vol. 1,https://www.youtube.com/watch?v=ASxSiOi6nJI
VM932:1,"2022 ICT Mentorship Market Commentary - July 28, 2022",https://www.youtube.com/watch?v=RxAAL3mIA2E
VM932:1,"2022 ICT Mentorship Market Review - July 27, 2022",https://www.youtube.com/watch?v=2dhA2cN46lc
VM932:1,"2022 ICT Mentorship Index Market Review - July 26, 2022",https://www.youtube.com/watch?v=uYwtnbx6kz8
VM932:1,"2022 ICT Mentorship Market Review - July 25, 2022",https://www.youtube.com/watch?v=B4BH3sQ47Vc
VM932:1,"2022 ICT Mentorship Market Review - July 22, 2022",https://www.youtube.com/watch?v=pi5_IMAtIfI
VM932:1,"2022 ICT Mentorship Index Market Review - July 19, 2022",https://www.youtube.com/watch?v=jXBuSFBUs2w
VM932:1,"2022 ICT Mentorship Market Review - July 18, 2022",https://www.youtube.com/watch?v=mdYFQIEcG38
VM932:1,"2022 ICT Mentorship Market Review - July 08, 2022",https://www.youtube.com/watch?v=fz9ZDU6bKIc
VM932:1,"ICT Market Review - July 06, 2022",https://www.youtube.com/watch?v=3TVdmXWTCTQ
VM932:1,"ICT Index Futures PM Session Review - July 05, 2022",https://www.youtube.com/watch?v=fq62gXyRRWQ
VM932:1,Index Futures AM Session Review - 06/28/2022,https://www.youtube.com/watch?v=WkCCWJCsB5w
VM932:1,"2022 ICT Mentorship - Index Futures Review June 27, 2022",https://www.youtube.com/watch?v=RQKvizn8WWs
VM932:1,2022 ICT Mentorship Topical Study - Dealing Ranges,https://www.youtube.com/watch?v=s-iqN0h2Fgg
VM932:1,2022 ICT Mentorship - Episode 41 & Final,https://www.youtube.com/watch?v=2XhDi5GoNUI
VM932:1,ICT Index Futures & Forex Review - 06/22/2022,https://www.youtube.com/watch?v=sjw-ev5ixXk
VM932:1,2022 ICT Mentorship Episode 40,https://www.youtube.com/watch?v=koN1ge8bewI
VM932:1,ICT Index Futures AM Session Review - 06/14/2022,https://www.youtube.com/watch?v=B3-zt3HdXVA
VM932:1,ICT Index Futures PM Session Review - 06/13/2022,https://www.youtube.com/watch?v=_ra-GlgdMZU
VM932:1,ICT Index Futures AM Session Review - 06/13/2022,https://www.youtube.com/watch?v=wwKXw3CdGAk
VM932:1,2022 ICT Mentorship Episode 39,https://www.youtube.com/watch?v=yFpHbBnsK_c&t=136s
VM932:1,2022 ICT Mentorship Episode 38,https://www.youtube.com/watch?v=36184dDAqtM
VM932:1,2022 ICT Mentorship Episode 37,https://www.youtube.com/watch?v=HuZurY0ghDI
VM932:1,2022 ICT Mentorship Episode 36,https://www.youtube.com/watch?v=pWnMpdN_g98
VM932:1,2022 ICT Mentorship Episode 35,https://www.youtube.com/watch?v=MdYrslpUezU
VM932:1,2022 ICT Mentorship Episode 34,https://www.youtube.com/watch?v=t8flQP5jy-Q
VM932:1,2022 ICT Mentorship Episode 33,https://www.youtube.com/watch?v=8z6My18WZqA
VM932:1,2022 ICT Mentorship Episode 32,https://www.youtube.com/watch?v=hzoMJQlEv5M
VM932:1,2022 ICT Mentorship Episode 31,https://www.youtube.com/watch?v=OYNpIeu9czw
